VNP.TO,1.47,122.6M,20.07M,0.24,61.34M
FAP.TO,2.7,137.01M,14.12M,0.28,101.91M
AAB.TO,0.03,2.88M,15.93M,0.17,482.52k
ABT.TO,10.25,432.81M,38.56M,0.91,8.93M
ADN.TO,13.38,223.27M,7.6M,0.46,100.88M
AEF.TO,0.45,33.22M,N/A,N/A,82.56M
ACD.TO,4.63,39.77M,6.78M,0.79,297.47M
ASP.TO,0.05,50.52M,5.86M,0.01,20.6M
DRX.TO,0.82,26.76M,3.98M,0.12,40.16M
AAV.TO,2.07,386.91M,13.1M,0.07,298.16M
ARE.TO,14.57,872.26M,596.57M,9.97,796.8M
AOI.TO,0.96,453.07M,329.46M,0.7,3.27M
AFN.TO,23.81,444.26M,48.42M,2.59,833.1M
AJX.TO,0.22,25.76M,17.25M,0.15,1.13M
AEM.TO,85.39,20.57B,423.27M,1.76,1.84B
AIM.TO,2.15,201.77M,185.2M,1.97,6M
AC.TO,18.8,4.96B,5.89B,22.32,9.24B
BOS.TO,14.0,327.49M,121k,0,74.14M
ASR.TO,7.11,2.1B,194.77M,0.66,378.42M
AGI.TO,11.42,4.47B,205.6M,0.53,800k
AD.TO,9.4,345.18M,17.1M,0.47,376.97M
ALC.TO,9.5,359.19M,18.86M,0.5,335.23M
AQN.TO,19.42,10.23B,62.48M,0.12,4.02B
ALB.TO,16.0,15.69M,37.35M,38.09,12.59M
AMM.TO,0.59,69.17M,912.21k,0.01,2.83M
ALA.TO,15.27,4.26B,57.1M,0.2,7.49B
ALS.TO,8.05,336.52M,22.13M,0.53,109.27M
AIF.TO,43.27,1.72B,60.26M,1.51,214.25M
USA.TO,2.9,274.79M,20M,0.23,24.84M
ARG.TO,0.275,49.55M,7.16M,0.04,63.64M
ANX.TO,0.235,31.78M,4.67M,0.04,4.69M
APY.TO,2.6,447.36M,N/A,N/A,N/A
APS.TO,10.15,774.14M,97.6M,1.28,1.53M
AQA.TO,0.125,42.32M,4.01M,0.01,165.15k
ARX.TO,5.61,2.06B,8.5M,0.02,923.8M
AR.TO,1.52,273.6M,38.79M,0.22,10.84M
ATZ.TO,14.99,1.63B,95.67M,0.88,572.59M
AKG.TO,1.66,366.55M,31.11M,0.14,597k
AYM.TO,2.0,277.34M,N/A,N/A,N/A
ATH.TO,0.105,54.96M,254.39M,0.49,576M
ATP.TO,2.8,295.41M,74.9M,0.7,642.5M
AI.TO,9.7,402.67M,N/A,N/A,277.36M
ATA.TO,20.52,1.79B,117.75M,1.28,388.68M
ORA.TO,57.0,248.17M,39.72M,9.12,44.27M
AUP.TO,22.9,2.56B,306.02M,2.72,N/A
AUG.TO,1.53,160.16M,1.01M,0.01,2.93M
ACQ.TO,6.34,173.91M,55.55M,2.03,1.43B
AVL.TO,0.06,20.24M,1.91M,0.01,1.15M
AVP.TO,0.05,16.57M,4.32M,0.01,115.09M
AZZ.TO,0.21,41.37M,184.45k,0,115.46k
BTO.TO,7.54,7.82B,140.6M,0.14,261.85M
BAD.TO,26.24,916.4M,8.8M,0.25,180.81M
BAR.TO,0.495,88M,9.65M,0.05,592.21k
BMO.TO,69.81,44.65B,275.88B,431.32,159.44B
BNS.TO,54.5,66.1B,393.75B,324.72,193.45B
ABX.TO,37.8,67.21B,3.31B,1.86,5.54B
BYL.TO,1.05,42.24M,13.97M,0.35,62.83M
BTE.TO,0.355,199.04M,5.57M,0.01,1.85B
